Ticker,Description,Change %,Volume*Price,Market Capitalization,Industry
VOLTAS,VOLTAS LTD,5.842365648249549,10101065059,4.17229E+11,Industrial Machinery
TVSMOTOR,TVS MOTOR COMPANY LTD,3.860905639700994,8057663391,1.1675E+12,Motor Vehicles
SWIGGY,SWIGGY LTD,5.2704099207716135,7870582687,9.32313E+11,Air Freight/Couriers
DIVISLAB,DIVI S LABORATORIES LTD,4.726308389175146,7644669793,1.48023E+12,Pharmaceuticals: Major
PAYTM,ONE 97 COMMUNICATIONS LTD,4.252455927869738,7618800319.900001,4.94788E+11,Packaged Software
SRF,SRF LTD,4.127669361830103,7231441006,8.3282E+11,Industrial Specialties
JINDALSTEL,JINDAL STEEL & POWER LTD,4.038127133380566,6287947731,8.07757E+11,Steel
NYKAA,FSN E COMMERCE VENTURES,1.9198997322395057,5163221272,4.83038E+11,Internet Retail
SAREGAMA,SAREGAMA INDIA LTD,11.002971007068945,4736494788,91768260498,Movies/Entertainment
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,5.701303832477289,4282719226.1000004,1.08061E+12,Finance/Rental/Leasing
SHRIRAMFIN,SHRIRAM FINANCE LTD,2.698382850695755,4064518753,1.0225E+12,Finance/Rental/Leasing
VBL,VARUN BEVERAGES LTD,3.758460990381194,3841730795,1.81486E+12,Beverages: Non-Alcoholic
INDHOTEL,THE INDIAN HOTELS CO. LTD,1.8404142491733733,3807449754,1.08821E+12,Hotels/Resorts/Cruise lines
KRN,KRN HEAT EXCHANGE N REF L,6.221758776503294,3546069634,49408300000,Industrial Machinery
COFORGE,COFORGE LTD,3.315235223832548,3434039387,5.52579E+11,Information Technology Services
PERSISTENT,PERSISTENT SYSTEMS LTD,2.413395016474114,3386609236,9.40461E+11,Information Technology Services
GREAVESCOT,GREAVES COTTON LTD.,5.783722682743039,3190108908,61770363400,Trucks/Construction/Farm Machinery
MAXHEALTH,MAX HEALTHCARE INS LTD,3.316038799909768,3017552465,1.03265E+12,Hospital/Nursing Management
